Sale ID,Model,Color,Manufacture Year,Sale Year,State,Sale Price USD,Customer Age,Gender,Sales Channel,Payment Method,Delivery Status,Delivery Days,Battery Capacity kWh,Range km,Charging Time (Hrs),Service Plan Opted,Warranty Years,Referral Code Used,Trade In Used
SALE100000,Model S,White,2024,2022,Texas,66031.14,19,Male,Online,Lease,Delivered,20,50,485.7,5.16,No,5,No,No
SALE100001,Model Y,White,2018,2021,New York,63034.2,37,Female,Online,Loan,Delivered,17,75,435,1.04,No,5,No,No
SALE100002,Model Y,Silver,2024,2020,Florida,41325.78,37,Female,Online,Loan,Delivered,17,50,394.4,1.71,Yes,4,Yes,No
SALE100003,Model X,Black,2024,2020,California,73480.2,28,Male,Online,Cash,Delivered,2,85,303.2,10.3,No,5,No,No
SALE100004,Model 3,Red,2022,2023,California,58239.48,58,Female,Online,Cash,Pending,11,85,463.1,4.68,No,3,No,No
SALE100005,Model Y,White,2024,2018,New York,60916.88,66,Male,Online,Lease,Delivered,12,50,386.7,11.69,Yes,4,Yes,Yes
SALE100006,Model Y,White,2024,2022,Illinois,66145.97,37,Female,In-store,Lease,Delivered,1,60,497,4.91,No,5,Yes,No
SALE100007,Model 3,Silver,2023,2024,Texas,78072.67,20,Male,In-store,Loan,Delivered,6,100,352.5,4.44,Yes,4,No,Yes
SALE100008,Model Y,Black,2024,2018,California,45024.52,41,Male,In-store,Lease,Delivered,26,85,415.7,8.22,Yes,6,No,No
SALE100009,Model 3,Silver,2024,2018,Florida,48646.17,66,Female,In-store,Loan,Pending,29,85,492.6,0.59,Yes,5,No,No
SALE100010,Model Y,Black,2024,2022,California,6829.6,34,Female,In-store,Loan,Delivered,10,75,528.4,2.69,No,2,No,No
SALE100011,Model X,White,2024,2022,Texas,40073.76,36,Male,Online,Cash,Delivered,22,60,448.3,1.83,Yes,5,Yes,No
SALE100012,Model Y,Silver,2024,2024,Florida,71419.58,47,Female,Third-party Dealer,Cash,Delivered,25,60,415.7,10.79,Yes,5,No,No
SALE100013,Model X,White,2021,2020,California,52967.3,73,Male,Online,Lease,Delivered,26,60,560.4,8.6,Yes,4,No,No
SALE100014,Model Y,Blue,2022,2022,New York,54638.36,54,Male,Online,Lease,Delivered,3,75,367.7,1.31,No,4,No,No
